date,avg_pnl,win_rate,trade_count,avg_size,timestamp,value,classification
2023-03-28,0,0,3,159,1679981400,59,Greed
2023-11-14,77.7516785,0.274641148325359,1045,11057.8275215311,1699939800,69,Greed
2024-03-09,35393.0983548,0.49008905486929,6962,5660.26576414823,1709962200,84,Greed
2024-07-03,19842.79725975,0.317182467441535,7141,3058.84810950847,1719984600,50,Fear
2024-10-27,109981.414897207,0.451604665020856,35241,2949.62586447604,1730007000,74,Greed
2025-02-19,209372.662205438,0.415145924061223,133871,5259.97783672341,1739943000,44,Fear
